trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2023-10-03,2023-10-03T13:11:00,2023-10-03T13:12:00,2023-10-03T14:11:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,930.0,19599.8496,19575.0,19678.248998400002,19541.0500512,TIMEOUT,50,1,50,1.0,1.0,979992.4800000001,-1242.4800000000687,234.90765890272002,-1477.3876589027886,-0.5025166651968556
2023-10-03,2023-10-03T14:24:00,2023-10-03T14:25:00,2023-10-03T15:24:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,913.0,19582.0,19567.9492,19660.328,19523.254,TIMEOUT,50,1,50,1.0,1.0,979100.0,-702.5400000000445,234.81665315544,-937.3566531554845,-0.31912186469052684
2023-10-09,2023-10-09T14:49:00,2023-10-09T14:50:00,2023-10-09T15:29:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,893.0,19557.4492,19525.0508,19635.678996799998,19498.7768524,TIMEOUT,50,1,50,1.0,1.0,977872.46,-1619.919999999911,234.4451932,-1854.365193199911,-0.6321087425518017
2023-10-10,2023-10-10T10:20:00,2023-10-10T10:21:00,2023-10-10T11:20:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,889.0,19652.6992,19667.0996,19731.3099968,19593.7411024,TIMEOUT,50,1,50,1.0,1.0,982634.96,720.0200000001132,235.70546065816,484.3145393419532,0.16429110132683564
2023-10-10,2023-10-10T12:23:00,2023-10-10T12:24:00,2023-10-10T13:23:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,888.0,19699.6992,19709.1992,19778.4979968,19640.6001024,TIMEOUT,50,1,50,1.0,1.0,984984.96,475.0,236.11966931088,238.88033068912,0.08084060176550649
2023-10-10,2023-10-10T13:27:00,2023-10-10T13:28:00,2023-10-10T14:27:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,869.0,19716.5508,19748.0,19795.4170032,19657.4011476,TIMEOUT,50,1,50,1.0,1.0,985827.54,1572.4599999999555,236.44403904456001,1336.0159609553955,0.4517409339688344
2023-10-11,2023-10-11T14:53:00,2023-10-11T14:54:00,2023-10-11T15:29:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,829.0,19862.4004,19849.3496,19941.8500016,19802.8131988,TIMEOUT,50,1,50,1.0,1.0,993120.0199999999,-652.5399999998626,237.51210175,-890.0521017498627,-0.2987393547021848
2023-10-13,2023-10-13T14:24:00,2023-10-13T14:25:00,2023-10-13T15:09:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,828.0,19807.0508,19747.629647600002,19886.2790032,19747.629647600002,STOP,50,1,50,1.0,1.0,990352.54,-2971.0576199999196,236.63751379638634,-2971.0576200000005,-1.0
2023-10-16,2023-10-16T14:20:00,2023-10-16T14:21:00,2023-10-16T15:20:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,812.0,19772.6992,19737.8496,19851.7899968,19713.3811024,TIMEOUT,50,1,50,1.0,1.0,988634.96,-1742.4799999998868,236.49048230816,-1978.9704823080467,-0.6672400371478019
2023-10-19,2023-10-19T12:53:00,2023-10-19T12:54:00,2023-10-19T13:53:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,811.0,19643.0508,19642.9004,19721.623003200002,19584.1216476,TIMEOUT,50,1,50,1.0,1.0,982152.54,-7.520000000113214,235.50502649184,-243.0250264919532,-0.08248040794557676
2023-10-19,2023-10-19T14:04:00,2023-10-19T14:05:00,2023-10-19T15:04:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,805.0,19665.0,19631.6992,19743.66,19606.005,TIMEOUT,50,1,50,1.0,1.0,983250.0,-1665.0400000000445,235.46952400544,-1900.5095240054845,-0.644295117893206
2023-10-27,2023-10-27T14:20:00,2023-10-27T14:21:00,2023-10-27T15:20:00,legacy:NIFTY:FUTIDX:2023-11-30,2023-11-30,777.0,19143.75,19125.0,19220.325,19086.31875,TIMEOUT,50,1,50,1.0,1.0,957187.5,-937.5,230.58055375,-1168.08055375,-0.4067752499727936
