trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2023-10-03,2023-10-03T13:47:00,2023-10-03T13:48:00,2023-10-03T14:47:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.008271341339054817,19609.0996,19578.0,19687.535998400002,19550.272301200002,TIMEOUT,50,1,50,1.0,1.0,980454.9800000001,-1554.9800000000687,234.94996935272,-1789.9299693527887,-0.6085371947599227
2023-10-03,2023-10-03T14:47:00,2023-10-03T14:48:00,2023-10-03T15:29:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.015577851332781174,19576.0,19562.0,19654.304,19517.272,TIMEOUT,50,1,50,1.0,1.0,978800.0,-700.0,234.7595116,-934.7595116,-0.3183352103255687
2023-10-10,2023-10-10T10:20:00,2023-10-10T10:21:00,2023-10-10T11:20:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.007484887641182679,19652.6992,19667.0996,19731.3099968,19593.7411024,TIMEOUT,50,1,50,1.0,1.0,982634.96,720.0200000001132,235.70546065816,484.3145393419532,0.16429110132683564
2023-10-10,2023-10-10T12:23:00,2023-10-10T12:24:00,2023-10-10T13:23:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.010463207164442595,19699.6992,19709.1992,19778.4979968,19640.6001024,TIMEOUT,50,1,50,1.0,1.0,984984.96,475.0,236.11966931088,238.88033068912,0.08084060176550649
2023-10-10,2023-10-10T13:29:00,2023-10-10T13:30:00,2023-10-10T14:29:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.0225991651142257,19720.0,19747.25,19798.88,19660.84,TIMEOUT,50,1,50,1.0,1.0,986000.0,1362.5,236.44595395000002,1126.05404605,0.3806808810175794
2023-10-13,2023-10-13T14:24:00,2023-10-13T14:25:00,2023-10-13T15:09:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.013700665000205335,19807.0508,19747.629647600002,19886.2790032,19747.629647600002,STOP,50,1,50,1.0,1.0,990352.54,-2971.0576199999196,236.63751379638634,-2971.0576200000005,-1.0
2023-10-16,2023-10-16T14:20:00,2023-10-16T14:21:00,2023-10-16T15:20:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.011853870264793977,19772.6992,19737.8496,19851.7899968,19713.3811024,TIMEOUT,50,1,50,1.0,1.0,988634.96,-1742.4799999998868,236.49048230816,-1978.9704823080467,-0.6672400371478019
2023-10-19,2023-10-19T12:53:00,2023-10-19T12:54:00,2023-10-19T13:53:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.013439166763424827,19643.0508,19642.9004,19721.623003200002,19584.1216476,TIMEOUT,50,1,50,1.0,1.0,982152.54,-7.520000000113214,235.50502649184,-243.0250264919532,-0.08248040794557676
2023-10-19,2023-10-19T14:04:00,2023-10-19T14:05:00,2023-10-19T15:04:00,legacy:NIFTY:FUTIDX:2023-10-26,2023-10-26,0.007315327725747764,19665.0,19631.6992,19743.66,19606.005,TIMEOUT,50,1,50,1.0,1.0,983250.0,-1665.0400000000445,235.46952400544,-1900.5095240054845,-0.644295117893206
2023-10-27,2023-10-27T14:20:00,2023-10-27T14:21:00,2023-10-27T15:20:00,legacy:NIFTY:FUTIDX:2023-11-30,2023-11-30,0.013582381619159443,19143.75,19125.0,19220.325,19086.31875,TIMEOUT,50,1,50,1.0,1.0,957187.5,-937.5,230.58055375,-1168.08055375,-0.4067752499727936
