trade_date,trade_count,policy_return_bps,stress_3_5_return_bps,stress_5_0_return_bps,stress_7_0_return_bps
2024-10-01,2,-2.9104593930592793,-7.45325816055928,-9.400171918059279,-11.996056928059279
2024-10-03,0,0.0,0.0,0.0,0.0
2024-10-04,0,0.0,0.0,0.0,0.0
2024-10-07,0,0.0,0.0,0.0,0.0
2024-10-08,0,0.0,0.0,0.0,0.0
2024-10-09,0,0.0,0.0,0.0,0.0
2024-10-10,0,0.0,0.0,0.0,0.0
2024-10-11,0,0.0,0.0,0.0,0.0
2024-10-14,3,0.6405598011369545,-5.981958706363045,-8.820180923863045,-12.604477213863047
2024-10-15,3,-15.548972459868578,-22.14368561986858,-24.969991259868575,-28.738398779868575
2024-10-16,0,0.0,0.0,0.0,0.0
2024-10-17,2,-19.514369538940482,-23.864895771440477,-25.72940701394048,-28.21542200394048
2024-10-18,0,0.0,0.0,0.0,0.0
2024-10-21,0,0.0,0.0,0.0,0.0
2024-10-22,0,0.0,0.0,0.0,0.0
2024-10-23,0,0.0,0.0,0.0,0.0
2024-10-24,0,0.0,0.0,0.0,0.0
2024-10-25,0,0.0,0.0,0.0,0.0
2024-10-28,3,-46.00237398299956,-48.137461482999555,-49.052498982999545,-50.27254898299955
2024-10-29,0,0.0,0.0,0.0,0.0
2024-10-30,0,0.0,0.0,0.0,0.0
2024-10-31,1,-1.1774420789935776,-3.2959724264935772,-4.203914003993576,-5.414502773993578
2024-11-04,0,0.0,0.0,0.0,0.0
2024-11-05,0,0.0,0.0,0.0,0.0
2024-11-06,0,0.0,0.0,0.0,0.0
2024-11-07,0,0.0,0.0,0.0,0.0
2024-11-08,0,0.0,0.0,0.0,0.0
2024-11-11,1,11.997826099799818,9.864873599799818,8.950751099799819,7.731921099799817
2024-11-12,1,-18.15225,-18.15225,-18.15225,-18.15225
2024-11-13,0,0.0,0.0,0.0,0.0
2024-11-14,0,0.0,0.0,0.0,0.0
2024-11-18,0,0.0,0.0,0.0,0.0
2024-11-19,2,-15.992382135750363,-18.075297760750363,-18.967975885750363,-20.158213385750365
2024-11-21,0,0.0,0.0,0.0,0.0
2024-11-22,0,0.0,0.0,0.0,0.0
2024-11-25,0,0.0,0.0,0.0,0.0
2024-11-26,0,0.0,0.0,0.0,0.0
2024-11-27,0,0.0,0.0,0.0,0.0
2024-11-28,0,0.0,0.0,0.0,0.0
2024-11-29,1,-5.232008338975365,-7.356829901475364,-8.267467713975364,-9.481651463975364
2024-12-02,1,6.189295342674818,4.060925655174818,3.148767217674818,1.9325559676748174
2024-12-03,3,-5.873919715724272,-12.317544403224272,-15.079097840724273,-18.761169090724273
2024-12-04,0,0.0,0.0,0.0,0.0
2024-12-05,0,0.0,0.0,0.0,0.0
2024-12-06,0,0.0,0.0,0.0,0.0
2024-12-09,3,-15.494591983899817,-21.98347823389982,-24.764429483899818,-27.818950748624456
2024-12-10,3,-7.449905545649456,-11.769907420649455,-13.621336795649453,-16.089909295649456
2024-12-11,0,0.0,0.0,0.0,0.0
2024-12-12,0,0.0,0.0,0.0,0.0
2024-12-13,0,0.0,0.0,0.0,0.0
2024-12-16,2,-14.521630414649817,-18.84836978964982,-20.702686664649818,-23.175109164649818
2024-12-17,0,0.0,0.0,0.0,0.0
2024-12-18,0,0.0,0.0,0.0,0.0
2024-12-19,0,0.0,0.0,0.0,0.0
2024-12-20,0,0.0,0.0,0.0,0.0
2024-12-23,0,0.0,0.0,0.0,0.0
2024-12-24,0,0.0,0.0,0.0,0.0
2024-12-26,0,0.0,0.0,0.0,0.0
2024-12-27,0,0.0,0.0,0.0,0.0
2024-12-30,0,0.0,0.0,0.0,0.0
2024-12-31,0,0.0,0.0,0.0,0.0
