trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2025-04-01,2025-04-01T10:15:00,2025-04-01T10:16:00,2025-04-01T10:24:00,54452,2025-04-24,2938.0,23585.0,23514.245,23679.34,23514.245,STOP,75,1,75,1.0,1.0,1768875.0,-5306.625000000076,511.57075723975004,-5306.625,-1.0
2025-04-01,2025-04-01T10:24:00,2025-04-01T10:25:00,2025-04-01T10:31:00,54452,2025-04-24,2929.0,23511.0,23440.467,23605.044,23440.467,STOP,75,1,75,1.0,1.0,1763325.0,-5289.9749999999585,510.1137533798501,-5289.975,-1.0
2025-04-01,2025-04-01T10:31:00,2025-04-01T10:32:00,2025-04-01T11:31:00,54452,2025-04-24,2922.0,23435.85,23366.0,23529.593399999998,23365.542449999997,TIMEOUT,75,1,75,1.0,1.0,1757688.75,-5238.749999999891,508.64171116750003,-5273.06625,-1.0
2025-04-02,2025-04-02T10:15:00,2025-04-02T10:16:00,2025-04-02T11:15:00,54452,2025-04-24,2719.0,23356.0,23414.95,23449.424,23285.932,TIMEOUT,75,1,75,1.0,1.0,1751700.0,4421.250000000055,509.20614207250003,3912.0438579275547,0.7444280523543899
2025-04-02,2025-04-02T12:00:00,2025-04-02T12:01:00,2025-04-02T13:00:00,54452,2025-04-24,2674.0,23393.2,23390.0,23486.772800000002,23323.0204,TIMEOUT,75,1,75,1.0,1.0,1754490.0,-240.00000000005457,508.90753156000005,-748.9075315600546,-0.14228399355559251
2025-04-02,2025-04-02T13:00:00,2025-04-02T13:01:00,2025-04-02T14:00:00,54452,2025-04-24,2615.0,23389.35,23401.0,23482.9074,23319.18195,TIMEOUT,75,1,75,1.0,1.0,1754201.25,873.7500000001091,509.07833634250005,364.6716636576091,0.06929491198299113
2025-04-03,2025-04-03T10:15:00,2025-04-03T10:16:00,2025-04-03T11:15:00,54452,2025-04-24,2579.0,23360.45,23365.0,23453.8918,23290.36865,TIMEOUT,75,1,75,1.0,1.0,1752033.75,341.24999999994543,508.3898775475,-167.1398775475546,-0.031799211924913855
2025-04-03,2025-04-03T12:02:00,2025-04-03T12:03:00,2025-04-03T13:02:00,54452,2025-04-24,2546.0,23385.65,23355.05,23479.192600000002,23315.49305,TIMEOUT,75,1,75,1.0,1.0,1753923.75,-2295.0000000001637,508.303125685,-2803.3031256851636,-0.5327679582583837
2025-04-03,2025-04-03T14:52:00,2025-04-03T14:53:00,2025-04-03T15:29:00,54452,2025-04-24,2531.0,23340.6,23325.9,23433.9624,23270.5782,TIMEOUT,75,1,75,1.0,1.0,1750545.0,-1102.4999999997817,507.678130075,-1610.1781300747816,-0.30660511061312934
2025-04-04,2025-04-04T10:15:00,2025-04-04T10:16:00,2025-04-04T11:15:00,54452,2025-04-24,2528.0,23024.05,23071.05,23116.1462,22954.97785,TIMEOUT,75,1,75,1.0,1.0,1726803.75,3525.0,502.455144205,3022.544855795,0.5834565461950535
2025-04-04,2025-04-04T12:00:00,2025-04-04T12:01:00,2025-04-04T13:00:00,54452,2025-04-24,2483.0,23031.9,23025.15,23124.0276,22962.8043,TIMEOUT,75,1,75,1.0,1.0,1727392.5,-506.25,501.7167953275,-1007.9667953275,-0.19450642038554258
2025-04-04,2025-04-04T13:00:00,2025-04-04T13:01:00,2025-04-04T13:44:00,54452,2025-04-24,2423.0,23028.0,22958.916,23120.112,22958.916,STOP,75,1,75,1.0,1.0,1727100.0,-5181.299999999919,500.60384980780003,-5181.3,-1.0
2025-04-07,2025-04-07T10:15:00,2025-04-07T10:16:00,2025-04-07T10:42:00,54452,2025-04-24,2323.0,22017.3,22105.3692,22105.3692,21951.2481,TARGET,75,1,75,1.0,1.0,1651297.5,6605.19000000013,483.26535690286005,6121.92464309727,1.2357806801615638
2025-04-07,2025-04-07T10:42:00,2025-04-07T10:43:00,2025-04-07T11:23:00,54452,2025-04-24,2296.0,22099.1,22032.8027,22187.4964,22032.8027,STOP,75,1,75,1.0,1.0,1657432.5,-4972.297499999877,482.31451351778503,-4972.2975,-1.0
2025-04-07,2025-04-07T12:00:00,2025-04-07T12:01:00,2025-04-07T12:13:00,54452,2025-04-24,2278.0,22025.35,21959.27395,22113.451399999998,21959.27395,STOP,75,1,75,1.0,1.0,1651901.25,-4955.703749999975,480.8624319682225,-4955.70375,-1.0
2025-04-08,2025-04-08T10:15:00,2025-04-08T10:16:00,2025-04-08T10:36:00,54452,2025-04-24,2103.0,22441.0,22373.677,22530.764,22373.677,STOP,75,1,75,1.0,1.0,1683075.0,-5049.225000000024,489.04626513535004,-5049.225,-1.0
2025-04-08,2025-04-08T10:36:00,2025-04-08T10:37:00,2025-04-08T10:55:00,54452,2025-04-24,2082.0,22395.5,22485.082,22485.082,22328.3135,TARGET,75,1,75,1.0,1.0,1679662.5,6718.649999999889,490.75582657809997,6227.894173421789,1.2359415802126497
2025-04-08,2025-04-08T10:55:00,2025-04-08T10:56:00,2025-04-08T11:08:00,54452,2025-04-24,2063.0,22447.8,22537.5912,22537.5912,22380.456599999998,TARGET,75,1,75,1.0,1.0,1683585.0,6734.339999999975,491.79165831796,6242.548341682014,1.2359634038241836
2025-04-09,2025-04-09T10:15:00,2025-04-09T10:16:00,2025-04-09T11:15:00,54452,2025-04-24,1883.0,22441.05,22429.0,22530.8142,22373.72685,TIMEOUT,75,1,75,1.0,1.0,1683078.75,-903.7499999999454,489.9658644775,-1393.7158644774454,-0.27602508487842004
2025-04-09,2025-04-09T12:00:00,2025-04-09T12:01:00,2025-04-09T13:00:00,54452,2025-04-24,1838.0,22473.8,22488.95,22563.6952,22406.3786,TIMEOUT,75,1,75,1.0,1.0,1685535.0,1136.2500000001091,491.0643717625,645.1856282376091,0.1275926492651906
2025-04-09,2025-04-09T13:00:00,2025-04-09T13:01:00,2025-04-09T14:00:00,54452,2025-04-24,1805.0,22486.45,22466.7,22576.395800000002,22418.99065,TIMEOUT,75,1,75,1.0,1.0,1686483.75,-1481.25,490.7340490825,-1971.9840490825,-0.3897624369999612
2025-04-11,2025-04-11T10:15:00,2025-04-11T10:16:00,2025-04-11T10:36:00,54452,2025-04-24,1743.0,22912.15,22843.41355,23003.798600000002,22843.41355,STOP,75,1,75,1.0,1.0,1718411.25,-5155.233750000025,498.32285119740254,-5155.23375,-1.0
2025-04-11,2025-04-11T10:36:00,2025-04-11T10:37:00,2025-04-11T11:12:00,54452,2025-04-24,1722.0,22839.85,22931.2094,22931.2094,22771.330449999998,TARGET,75,1,75,1.0,1.0,1712988.75,6851.955000000089,499.55643525127005,6352.398564748819,1.2361238147358564
2025-04-11,2025-04-11T12:00:00,2025-04-11T12:01:00,2025-04-11T13:00:00,54452,2025-04-24,1698.0,22959.4,22966.2,23051.2376,22890.521800000002,TIMEOUT,75,1,75,1.0,1.0,1721955.0,509.99999999994543,500.51090548,9.48909451994541,0.0018368839526285358
2025-04-15,2025-04-15T12:18:00,2025-04-15T12:19:00,2025-04-15T13:18:00,54452,2025-04-24,1523.0,23384.0,23379.9,23477.536,23313.847999999998,TIMEOUT,75,1,75,1.0,1.0,1753800.0,-307.49999999989086,508.71097424500005,-816.2109742448908,-0.155131899160849
2025-04-15,2025-04-15T14:31:00,2025-04-15T14:32:00,2025-04-15T15:29:00,54452,2025-04-24,1510.0,23347.1,23363.0,23440.4884,23277.058699999998,TIMEOUT,75,1,75,1.0,1.0,1751032.5,1192.5000000001091,508.314992455,684.1850075451091,0.13024410979333795
2025-04-16,2025-04-16T10:15:00,2025-04-16T10:16:00,2025-04-16T11:00:00,54452,2025-04-24,1499.0,23356.0,23285.932,23449.424,23285.932,STOP,75,1,75,1.0,1.0,1751700.0,-5255.099999999948,507.06192097060006,-5255.1,-1.0
2025-04-16,2025-04-16T12:00:00,2025-04-16T12:01:00,2025-04-16T13:00:00,54452,2025-04-24,1455.0,23336.8,23349.7,23430.1472,23266.7896,TIMEOUT,75,1,75,1.0,1.0,1750260.0,967.5000000001091,508.061821075,459.4381789251091,0.08749903422445983
2025-04-16,2025-04-16T13:07:00,2025-04-16T13:08:00,2025-04-16T14:00:00,54452,2025-04-24,1427.0,23338.3,23431.6532,23431.6532,23268.2851,TARGET,75,1,75,1.0,1.0,1750372.5,7001.4900000001035,509.42852570506,6492.061474295044,1.2363199784226964
2025-04-17,2025-04-17T10:15:00,2025-04-17T10:16:00,2025-04-17T10:50:00,54452,2025-04-24,1329.0,23369.9,23463.3796,23463.3796,23299.7903,TARGET,75,1,75,1.0,1.0,1752742.5,7010.969999999907,510.05438197618,6500.915618023727,1.2363321324578913
2025-04-17,2025-04-17T10:50:00,2025-04-17T10:51:00,2025-04-17T11:01:00,54452,2025-04-24,1294.0,23463.2,23392.810400000002,23557.0528,23392.810400000002,STOP,75,1,75,1.0,1.0,1759740.0,-5279.219999999896,509.1726076433201,-5279.22,-1.0
