trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2021-04-01,2021-04-01T10:34:00,2021-04-01T10:35:00,2021-04-01T10:56:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,44.0,14825.2,14780.724400000001,14884.500800000002,14780.724400000001,STOP,75,1,75,1.0,1.0,1111890.0,-3335.669999999982,232.17169432612002,-3335.67,-1.0
2021-04-01,2021-04-01T12:08:00,2021-04-01T12:09:00,2021-04-01T13:08:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,14.0,14832.85,14863.0,14892.181400000001,14788.35145,TIMEOUT,75,1,75,1.0,1.0,1112463.75,2261.2499999999727,232.957812955,2028.2921870449727,0.607747799136518
2021-04-05,2021-04-05T10:23:00,2021-04-05T10:24:00,2021-04-05T11:03:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,26.0,14581.9,14538.1543,14640.2276,14538.1543,STOP,75,1,75,1.0,1.0,1093642.5,-3280.9274999999616,229.13607839989,-3280.9275,-1.0
2021-04-05,2021-04-05T13:23:00,2021-04-05T13:24:00,2021-04-05T14:15:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,9.0,14654.95,14713.569800000001,14713.569800000001,14610.98515,TARGET,75,1,75,1.0,1.0,1099121.25,4396.48500000003,230.99665574554,4165.48834425449,1.2632783823909297
2021-04-06,2021-04-06T10:59:00,2021-04-06T11:00:00,2021-04-06T11:25:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,55.0,14789.1,14848.2564,14848.2564,14744.7327,TARGET,75,1,75,1.0,1.0,1109182.5,4436.729999999989,232.67911261972,4204.050887380268,1.2634082270441724
2021-04-06,2021-04-06T12:54:00,2021-04-06T12:55:00,2021-04-06T13:54:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,17.0,14719.85,14707.75,14778.7294,14675.69045,TIMEOUT,75,1,75,1.0,1.0,1103988.75,-907.5000000000273,231.15388348,-1138.6538834800272,-0.34379996579978045
2021-04-06,2021-04-06T14:02:00,2021-04-06T14:03:00,2021-04-06T15:02:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,42.0,14722.25,14725.4,14781.139,14678.08325,TIMEOUT,75,1,75,1.0,1.0,1104168.75,236.24999999997272,231.324992095,4.925007904972716,0.0014867920339690578
2021-04-12,2021-04-12T10:24:00,2021-04-12T10:25:00,2021-04-12T10:38:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,4.0,14452.85,14409.49145,14510.6614,14409.49145,STOP,75,1,75,1.0,1.0,1083963.75,-3251.8912500000624,227.525941797835,-3251.89125,-1.0
2021-04-12,2021-04-12T13:58:00,2021-04-12T13:59:00,2021-04-12T14:49:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,56.0,14342.4,14299.3728,14399.7696,14299.3728,STOP,75,1,75,1.0,1.0,1075680.0,-3227.0400000000336,226.14787447743998,-3227.04,-1.0
2021-04-13,2021-04-13T13:32:00,2021-04-13T13:33:00,2021-04-13T13:48:00,legacy:NIFTY:FUTIDX:2021-04-29,2021-04-29,20.0,14365.7,14423.1628,14423.1628,14322.6029,TARGET,75,1,75,1.0,1.0,1077427.5,4309.70999999995,227.36899528444,4082.34100471551,1.2629901639833492
