trade_date,trade_count,policy_return_bps,stress_3_5_return_bps,stress_5_0_return_bps,stress_7_0_return_bps
2022-01-03,3,57.63042631641952,48.39123142141953,44.43157646641954,39.152036526419536
2022-01-04,3,-16.906079075527884,-26.228162790527886,-30.223341525527882,-35.55024650552789
2022-01-05,3,30.159749463072263,23.900926228072258,21.21857341307226,17.64210299307226
2022-01-06,3,-7.381968754053958,-13.587267434053956,-16.246681154053956,-19.792566114053955
2022-01-07,3,-80.50139940000001,-80.50139940000001,-80.50139940000001,-80.50139940000001
2022-01-10,3,11.681881852108353,2.233229212108355,-1.8161933478916454,-7.215423427891644
2022-01-11,3,43.461560885054844,33.97124081505485,29.903960785054846,24.480920745054846
2022-01-12,3,10.077532204417269,0.5142373094172661,-3.5843176455827312,-9.049057585582732
2022-01-13,0,0.0,0.0,0.0,0.0
2022-01-14,0,0.0,0.0,0.0,0.0
2022-01-17,0,0.0,0.0,0.0,0.0
2022-01-18,0,0.0,0.0,0.0,0.0
2022-01-19,0,0.0,0.0,0.0,0.0
2022-01-20,0,0.0,0.0,0.0,0.0
2022-01-21,0,0.0,0.0,0.0,0.0
2022-01-24,0,0.0,0.0,0.0,0.0
2022-01-25,0,0.0,0.0,0.0,0.0
2022-01-27,0,0.0,0.0,0.0,0.0
2022-01-28,0,0.0,0.0,0.0,0.0
2022-01-31,0,0.0,0.0,0.0,0.0
2022-02-01,0,0.0,0.0,0.0,0.0
2022-02-02,0,0.0,0.0,0.0,0.0
2022-02-03,0,0.0,0.0,0.0,0.0
2022-02-04,0,0.0,0.0,0.0,0.0
2022-02-07,0,0.0,0.0,0.0,0.0
2022-02-08,0,0.0,0.0,0.0,0.0
2022-02-09,0,0.0,0.0,0.0,0.0
2022-02-10,0,0.0,0.0,0.0,0.0
2022-02-11,0,0.0,0.0,0.0,0.0
2022-02-14,0,0.0,0.0,0.0,0.0
2022-02-15,0,0.0,0.0,0.0,0.0
2022-02-16,0,0.0,0.0,0.0,0.0
2022-02-17,0,0.0,0.0,0.0,0.0
2022-02-18,0,0.0,0.0,0.0,0.0
2022-02-21,0,0.0,0.0,0.0,0.0
2022-02-22,0,0.0,0.0,0.0,0.0
2022-02-23,0,0.0,0.0,0.0,0.0
2022-02-24,0,0.0,0.0,0.0,0.0
2022-02-25,0,0.0,0.0,0.0,0.0
2022-02-28,0,0.0,0.0,0.0,0.0
2022-03-02,0,0.0,0.0,0.0,0.0
2022-03-03,0,0.0,0.0,0.0,0.0
2022-03-04,0,0.0,0.0,0.0,0.0
2022-03-07,0,0.0,0.0,0.0,0.0
2022-03-08,0,0.0,0.0,0.0,0.0
2022-03-09,0,0.0,0.0,0.0,0.0
2022-03-10,0,0.0,0.0,0.0,0.0
2022-03-11,0,0.0,0.0,0.0,0.0
2022-03-14,0,0.0,0.0,0.0,0.0
2022-03-15,0,0.0,0.0,0.0,0.0
2022-03-16,0,0.0,0.0,0.0,0.0
2022-03-17,0,0.0,0.0,0.0,0.0
2022-03-21,0,0.0,0.0,0.0,0.0
2022-03-22,0,0.0,0.0,0.0,0.0
2022-03-23,0,0.0,0.0,0.0,0.0
2022-03-24,0,0.0,0.0,0.0,0.0
2022-03-25,0,0.0,0.0,0.0,0.0
2022-03-28,0,0.0,0.0,0.0,0.0
2022-03-29,0,0.0,0.0,0.0,0.0
2022-03-30,0,0.0,0.0,0.0,0.0
2022-03-31,0,0.0,0.0,0.0,0.0
