trade_date,decision_datetime,entry_datetime,exit_datetime,contract_id,front_expiry,score,entry_price,exit_price,target_price,stop_price,exit_reason,lot_size,lots,quantity,requested_multiplier,multiplier,entry_notional,gross_pnl,cost_rupees,realized_pnl,realized_r
2022-04-20,2022-04-20T14:07:00,2022-04-20T14:08:00,2022-04-20T14:20:00,legacy:NIFTY:FUTIDX:2022-04-28,2022-04-28,14.0,17135.1504,17083.7449488,17203.6910016,17083.7449488,STOP,50,1,50,1.0,1.0,856757.5199999999,-2570.272560000012,189.72838869046817,-2570.27256,-1.0
2022-04-22,2022-04-22T14:03:00,2022-04-22T14:04:00,2022-04-22T15:03:00,legacy:NIFTY:FUTIDX:2022-04-28,2022-04-28,141.0,17197.0,17190.0,17265.788,17145.409,TIMEOUT,50,1,50,1.0,1.0,859850.0,-350.0,190.5178934,-540.5178934,-0.20953960706324748
2022-04-29,2022-04-29T14:31:00,2022-04-29T14:32:00,2022-04-29T15:00:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,42.0,17282.0,17230.154,17351.128,17230.154,STOP,50,1,50,1.0,1.0,864100.0,-2592.3000000000684,190.94986830279998,-2592.3,-1.0
2022-05-02,2022-05-02T14:51:00,2022-05-02T14:52:00,2022-05-02T15:29:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,15.0,17064.0,17079.25,17132.256,17012.808,TIMEOUT,50,1,50,1.0,1.0,853200.0,762.5,189.54639465,572.95360535,0.22384497786763558
2022-05-04,2022-05-04T14:03:00,2022-05-04T14:04:00,2022-05-04T14:07:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,451.0,16900.9004,16850.1976988,16968.5040016,16850.1976988,STOP,50,1,50,1.0,1.0,845045.0199999999,-2535.1350599999932,187.77992169301814,-2535.1350599999996,-1.0
2022-05-04,2022-05-04T14:07:00,2022-05-04T14:08:00,2022-05-04T14:08:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,502.0,16850.0,16799.45,16917.4,16799.45,STOP,50,1,50,1.0,1.0,842500.0,-2527.4999999999636,187.35653749,-2527.5,-1.0
2022-05-04,2022-05-04T14:08:00,2022-05-04T14:09:00,2022-05-04T14:21:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,556.0,16790.0508,16857.211003200002,16857.211003200002,16739.680647600002,TARGET,50,1,50,1.0,1.0,839502.54,3358.010160000049,187.58283705449827,3170.4273229455507,1.2588515904293949
2022-05-05,2022-05-05T14:27:00,2022-05-05T14:28:00,2022-05-05T15:27:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,62.0,16726.5508,16680.1992,16793.4570032,16676.371147600003,TIMEOUT,50,1,50,1.0,1.0,836327.54,-2317.580000000089,186.35331215,-2503.933312150089,-0.9979875078409626
2022-05-06,2022-05-06T10:43:00,2022-05-06T10:44:00,2022-05-06T11:03:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,202.0,16406.0508,16356.8326476,16471.6750032,16356.8326476,STOP,50,1,50,1.0,1.0,820302.54,-2460.9076200000345,183.66381448148633,-2460.9076200000004,-1.0
2022-05-06,2022-05-06T14:10:00,2022-05-06T14:11:00,2022-05-06T14:44:00,legacy:NIFTY:FUTIDX:2022-05-26,2022-05-26,156.0,16440.1992,16390.8786024,16505.9599968,16390.8786024,STOP,50,1,50,1.0,1.0,822009.96,-2466.029879999951,183.9478573007637,-2466.0298799999996,-1.0
