expiry,expiry_weekday,first_trade_date,last_trade_date,fin_instrm_id,source
2024-01-25,Thursday,2024-01-01,2024-01-25,legacy:BANKNIFTY:FUTIDX:2024-01-25,legacy
2024-02-29,Thursday,2024-01-01,2024-02-29,legacy:BANKNIFTY:FUTIDX:2024-02-29,legacy
2024-03-27,Wednesday,2024-03-01,2024-03-27,legacy:BANKNIFTY:FUTIDX:2024-03-27,legacy
2024-03-28,Thursday,2024-01-01,2024-02-29,legacy:BANKNIFTY:FUTIDX:2024-03-28,legacy
2024-04-24,Wednesday,2024-03-01,2024-04-24,legacy:BANKNIFTY:FUTIDX:2024-04-24,legacy
2024-04-25,Thursday,2024-01-29,2024-02-29,legacy:BANKNIFTY:FUTIDX:2024-04-25,legacy
2024-05-29,Wednesday,2024-03-01,2024-05-29,legacy:BANKNIFTY:FUTIDX:2024-05-29,legacy
2024-06-26,Wednesday,2024-03-28,2024-06-26,legacy:BANKNIFTY:FUTIDX:2024-06-26,legacy
2024-07-31,Wednesday,2024-04-25,2024-07-31,35165,legacy;udiff
2024-08-28,Wednesday,2024-05-30,2024-08-28,35089,legacy;udiff
2024-09-25,Wednesday,2024-06-27,2024-09-25,35075,legacy;udiff
2024-10-30,Wednesday,2024-08-01,2024-10-30,35006,udiff
2024-11-27,Wednesday,2024-08-29,2024-11-27,35013,udiff
2024-12-24,Tuesday,2024-09-26,2024-12-24,35025,udiff
2025-01-30,Thursday,2024-10-31,2025-01-30,35012,udiff
2025-02-27,Thursday,2024-11-28,2025-02-27,35117,udiff
2025-03-27,Thursday,2024-12-26,2025-03-27,58958,udiff
2025-04-24,Thursday,2025-01-31,2025-04-24,54445,udiff
2025-05-29,Thursday,2025-02-28,2025-05-29,57130,udiff
2025-06-26,Thursday,2025-03-28,2025-06-26,56782,udiff
2025-07-31,Thursday,2025-04-25,2025-07-31,53213,udiff
2025-08-28,Thursday,2025-05-30,2025-08-28,64100,udiff
2025-09-30,Tuesday,2025-06-27,2025-09-30,52995,udiff
2025-10-28,Tuesday,2025-08-01,2025-10-28,52145,udiff
2025-11-25,Tuesday,2025-08-29,2025-11-25,37051,udiff
2025-12-30,Tuesday,2025-10-01,2025-12-30,49508,udiff
2026-01-27,Tuesday,2025-10-29,2026-01-27,49224,udiff
2026-02-24,Tuesday,2025-11-26,2026-02-24,59175,udiff
2026-03-30,Monday,2025-12-31,2026-03-30,51701,udiff
2026-04-28,Tuesday,2026-01-28,2026-04-28,66688,udiff
2026-05-26,Tuesday,2026-02-25,2026-05-26,66068,udiff
2026-06-30,Tuesday,2026-04-01,2026-06-30,62326,udiff
2026-07-28,Tuesday,2026-04-29,2026-06-30,61088,udiff
2026-08-25,Tuesday,2026-05-27,2026-06-30,58067,udiff
