expiry,expiry_weekday,first_trade_date,last_trade_date,fin_instrm_id,source
2024-01-25,Thursday,2024-01-01,2024-01-25,legacy:NIFTY:FUTIDX:2024-01-25,legacy
2024-02-29,Thursday,2024-01-01,2024-02-29,legacy:NIFTY:FUTIDX:2024-02-29,legacy
2024-03-28,Thursday,2024-01-01,2024-03-28,legacy:NIFTY:FUTIDX:2024-03-28,legacy
2024-04-25,Thursday,2024-01-29,2024-04-25,legacy:NIFTY:FUTIDX:2024-04-25,legacy
2024-05-30,Thursday,2024-03-01,2024-05-30,legacy:NIFTY:FUTIDX:2024-05-30,legacy
2024-06-27,Thursday,2024-04-01,2024-06-27,legacy:NIFTY:FUTIDX:2024-06-27,legacy
2024-07-25,Thursday,2024-04-26,2024-07-25,35007,legacy;udiff
2024-08-29,Thursday,2024-05-31,2024-08-29,35415,legacy;udiff
2024-09-26,Thursday,2024-06-28,2024-09-26,35000,legacy;udiff
2024-10-31,Thursday,2024-07-26,2024-10-31,35382,udiff
2024-11-28,Thursday,2024-08-30,2024-11-28,35089,udiff
2024-12-26,Thursday,2024-09-27,2024-12-26,35005,udiff
2025-01-30,Thursday,2024-11-01,2025-01-30,35006,udiff
2025-02-27,Thursday,2024-11-29,2025-02-27,35013,udiff
2025-03-27,Thursday,2024-12-27,2025-03-27,35001,udiff
2025-04-24,Thursday,2025-01-31,2025-04-24,54452,udiff
2025-05-29,Thursday,2025-02-28,2025-05-29,57133,udiff
2025-06-26,Thursday,2025-03-28,2025-06-26,56785,udiff
2025-07-31,Thursday,2025-04-25,2025-07-31,53216,udiff
2025-08-28,Thursday,2025-05-30,2025-08-28,64103,udiff
2025-09-25,Thursday,2025-06-27,2025-07-31,53001,udiff
2025-09-30,Tuesday,2025-08-01,2025-09-30,53001,udiff
2025-10-28,Tuesday,2025-08-01,2025-10-28,52168,udiff
2025-11-25,Tuesday,2025-08-29,2025-11-25,37054,udiff
2025-12-30,Tuesday,2025-10-01,2025-12-30,49543,udiff
2026-01-27,Tuesday,2025-10-29,2026-01-27,49229,udiff
2026-02-24,Tuesday,2025-11-26,2026-02-24,59182,udiff
2026-03-30,Monday,2025-12-31,2026-03-30,51714,udiff
2026-04-28,Tuesday,2026-01-28,2026-04-28,66691,udiff
2026-05-26,Tuesday,2026-02-25,2026-05-25,66071,udiff
2026-06-30,Tuesday,2026-04-01,2026-05-25,62329,udiff
