trade_date,front_instrument_id,front_expiry
2024-11-01,35089,2024-11-28
2024-11-04,35089,2024-11-28
2024-11-05,35089,2024-11-28
2024-11-06,35089,2024-11-28
2024-11-07,35089,2024-11-28
2024-11-08,35089,2024-11-28
2024-11-11,35089,2024-11-28
2024-11-12,35089,2024-11-28
2024-11-13,35089,2024-11-28
2024-11-14,35089,2024-11-28
2024-11-18,35089,2024-11-28
2024-11-19,35089,2024-11-28
2024-11-21,35089,2024-11-28
2024-11-22,35089,2024-11-28
2024-11-25,35089,2024-11-28
2024-11-26,35089,2024-11-28
2024-11-27,35089,2024-11-28
2024-11-28,35089,2024-11-28
2024-11-29,35005,2024-12-26
2024-12-02,35005,2024-12-26
2024-12-03,35005,2024-12-26
2024-12-04,35005,2024-12-26
2024-12-05,35005,2024-12-26
2024-12-06,35005,2024-12-26
2024-12-09,35005,2024-12-26
2024-12-10,35005,2024-12-26
2024-12-11,35005,2024-12-26
2024-12-12,35005,2024-12-26
2024-12-13,35005,2024-12-26
2024-12-16,35005,2024-12-26
2024-12-17,35005,2024-12-26
2024-12-18,35005,2024-12-26
2024-12-19,35005,2024-12-26
2024-12-20,35005,2024-12-26
2024-12-23,35005,2024-12-26
2024-12-24,35005,2024-12-26
2024-12-26,35005,2024-12-26
2024-12-27,35006,2025-01-30
2024-12-30,35006,2025-01-30
2024-12-31,35006,2025-01-30
2025-01-01,35006,2025-01-30
2025-01-02,35006,2025-01-30
2025-01-03,35006,2025-01-30
2025-01-06,35006,2025-01-30
2025-01-07,35006,2025-01-30
2025-01-08,35006,2025-01-30
2025-01-09,35006,2025-01-30
2025-01-10,35006,2025-01-30
2025-01-13,35006,2025-01-30
2025-01-14,35006,2025-01-30
2025-01-15,35006,2025-01-30
2025-01-16,35006,2025-01-30
2025-01-17,35006,2025-01-30
2025-01-20,35006,2025-01-30
2025-01-21,35006,2025-01-30
2025-01-22,35006,2025-01-30
2025-01-23,35006,2025-01-30
2025-01-24,35006,2025-01-30
2025-01-27,35006,2025-01-30
2025-01-28,35006,2025-01-30
2025-01-29,35006,2025-01-30
2025-01-30,35006,2025-01-30
2025-01-31,35013,2025-02-27
2025-02-03,35013,2025-02-27
2025-02-04,35013,2025-02-27
2025-02-05,35013,2025-02-27
2025-02-06,35013,2025-02-27
2025-02-07,35013,2025-02-27
2025-02-10,35013,2025-02-27
2025-02-11,35013,2025-02-27
2025-02-12,35013,2025-02-27
2025-02-13,35013,2025-02-27
2025-02-14,35013,2025-02-27
2025-02-17,35013,2025-02-27
2025-02-18,35013,2025-02-27
2025-02-19,35013,2025-02-27
2025-02-20,35013,2025-02-27
2025-02-21,35013,2025-02-27
2025-02-24,35013,2025-02-27
2025-02-25,35013,2025-02-27
2025-02-27,35013,2025-02-27
2025-02-28,35001,2025-03-27
2025-03-03,35001,2025-03-27
2025-03-04,35001,2025-03-27
2025-03-05,35001,2025-03-27
2025-03-06,35001,2025-03-27
2025-03-07,35001,2025-03-27
2025-03-10,35001,2025-03-27
2025-03-11,35001,2025-03-27
2025-03-12,35001,2025-03-27
2025-03-13,35001,2025-03-27
2025-03-17,35001,2025-03-27
2025-03-18,35001,2025-03-27
2025-03-19,35001,2025-03-27
2025-03-20,35001,2025-03-27
2025-03-21,35001,2025-03-27
2025-03-24,35001,2025-03-27
2025-03-25,35001,2025-03-27
2025-03-26,35001,2025-03-27
2025-03-27,35001,2025-03-27
2025-03-28,54452,2025-04-24
2025-04-01,54452,2025-04-24
2025-04-02,54452,2025-04-24
2025-04-03,54452,2025-04-24
2025-04-04,54452,2025-04-24
2025-04-07,54452,2025-04-24
2025-04-08,54452,2025-04-24
2025-04-09,54452,2025-04-24
2025-04-11,54452,2025-04-24
2025-04-15,54452,2025-04-24
2025-04-16,54452,2025-04-24
2025-04-17,54452,2025-04-24
2025-04-21,54452,2025-04-24
2025-04-22,54452,2025-04-24
2025-04-23,54452,2025-04-24
2025-04-24,54452,2025-04-24
2025-04-25,57133,2025-05-29
2025-04-28,57133,2025-05-29
2025-04-29,57133,2025-05-29
2025-04-30,57133,2025-05-29
2025-05-02,57133,2025-05-29
2025-05-05,57133,2025-05-29
2025-05-06,57133,2025-05-29
2025-05-07,57133,2025-05-29
2025-05-08,57133,2025-05-29
2025-05-09,57133,2025-05-29
2025-05-12,57133,2025-05-29
2025-05-13,57133,2025-05-29
2025-05-14,57133,2025-05-29
2025-05-15,57133,2025-05-29
2025-05-16,57133,2025-05-29
2025-05-19,57133,2025-05-29
2025-05-20,57133,2025-05-29
2025-05-21,57133,2025-05-29
2025-05-22,57133,2025-05-29
2025-05-23,57133,2025-05-29
2025-05-26,57133,2025-05-29
2025-05-27,57133,2025-05-29
2025-05-28,57133,2025-05-29
2025-05-29,57133,2025-05-29
2025-05-30,56785,2025-06-26
2025-06-02,56785,2025-06-26
2025-06-03,56785,2025-06-26
2025-06-04,56785,2025-06-26
2025-06-05,56785,2025-06-26
2025-06-06,56785,2025-06-26
2025-06-09,56785,2025-06-26
2025-06-10,56785,2025-06-26
2025-06-11,56785,2025-06-26
2025-06-12,56785,2025-06-26
2025-06-13,56785,2025-06-26
2025-06-16,56785,2025-06-26
2025-06-17,56785,2025-06-26
2025-06-18,56785,2025-06-26
2025-06-19,56785,2025-06-26
2025-06-20,56785,2025-06-26
2025-06-23,56785,2025-06-26
2025-06-24,56785,2025-06-26
2025-06-25,56785,2025-06-26
2025-06-26,56785,2025-06-26
2025-06-27,53216,2025-07-31
2025-06-30,53216,2025-07-31
2025-07-01,53216,2025-07-31
2025-07-02,53216,2025-07-31
2025-07-03,53216,2025-07-31
2025-07-04,53216,2025-07-31
2025-07-07,53216,2025-07-31
2025-07-08,53216,2025-07-31
2025-07-09,53216,2025-07-31
2025-07-10,53216,2025-07-31
2025-07-11,53216,2025-07-31
2025-07-14,53216,2025-07-31
2025-07-15,53216,2025-07-31
2025-07-16,53216,2025-07-31
2025-07-17,53216,2025-07-31
2025-07-18,53216,2025-07-31
2025-07-21,53216,2025-07-31
2025-07-22,53216,2025-07-31
2025-07-23,53216,2025-07-31
2025-07-24,53216,2025-07-31
2025-07-25,53216,2025-07-31
2025-07-28,53216,2025-07-31
2025-07-29,53216,2025-07-31
2025-07-30,53216,2025-07-31
2025-07-31,53216,2025-07-31
2025-08-01,64103,2025-08-28
2025-08-04,64103,2025-08-28
2025-08-05,64103,2025-08-28
2025-08-06,64103,2025-08-28
2025-08-07,64103,2025-08-28
2025-08-08,64103,2025-08-28
2025-08-11,64103,2025-08-28
2025-08-12,64103,2025-08-28
2025-08-13,64103,2025-08-28
2025-08-14,64103,2025-08-28
2025-08-18,64103,2025-08-28
2025-08-19,64103,2025-08-28
2025-08-20,64103,2025-08-28
2025-08-21,64103,2025-08-28
2025-08-22,64103,2025-08-28
2025-08-25,64103,2025-08-28
2025-08-26,64103,2025-08-28
2025-08-28,64103,2025-08-28
2025-08-29,53001,2025-09-30
2025-09-01,53001,2025-09-30
2025-09-02,53001,2025-09-30
2025-09-03,53001,2025-09-30
2025-09-04,53001,2025-09-30
2025-09-05,53001,2025-09-30
2025-09-08,53001,2025-09-30
2025-09-09,53001,2025-09-30
2025-09-10,53001,2025-09-30
2025-09-11,53001,2025-09-30
2025-09-12,53001,2025-09-30
2025-09-15,53001,2025-09-30
2025-09-16,53001,2025-09-30
2025-09-17,53001,2025-09-30
2025-09-18,53001,2025-09-30
2025-09-19,53001,2025-09-30
2025-09-22,53001,2025-09-30
2025-09-23,53001,2025-09-30
2025-09-24,53001,2025-09-30
2025-09-25,53001,2025-09-30
2025-09-26,53001,2025-09-30
2025-09-29,53001,2025-09-30
2025-09-30,53001,2025-09-30
2025-10-01,52168,2025-10-28
2025-10-03,52168,2025-10-28
2025-10-06,52168,2025-10-28
2025-10-07,52168,2025-10-28
2025-10-08,52168,2025-10-28
2025-10-09,52168,2025-10-28
2025-10-10,52168,2025-10-28
2025-10-13,52168,2025-10-28
2025-10-14,52168,2025-10-28
2025-10-15,52168,2025-10-28
2025-10-16,52168,2025-10-28
2025-10-17,52168,2025-10-28
2025-10-20,52168,2025-10-28
2025-10-21,52168,2025-10-28
2025-10-23,52168,2025-10-28
2025-10-24,52168,2025-10-28
2025-10-27,52168,2025-10-28
2025-10-28,52168,2025-10-28
2025-10-29,37054,2025-11-25
2025-10-30,37054,2025-11-25
2025-10-31,37054,2025-11-25
2025-11-03,37054,2025-11-25
2025-11-04,37054,2025-11-25
2025-11-06,37054,2025-11-25
2025-11-07,37054,2025-11-25
2025-11-10,37054,2025-11-25
2025-11-11,37054,2025-11-25
2025-11-12,37054,2025-11-25
2025-11-13,37054,2025-11-25
2025-11-14,37054,2025-11-25
2025-11-17,37054,2025-11-25
2025-11-18,37054,2025-11-25
2025-11-19,37054,2025-11-25
2025-11-20,37054,2025-11-25
2025-11-21,37054,2025-11-25
2025-11-24,37054,2025-11-25
2025-11-25,37054,2025-11-25
2025-11-26,49543,2025-12-30
2025-11-27,49543,2025-12-30
2025-11-28,49543,2025-12-30
2025-12-01,49543,2025-12-30
2025-12-02,49543,2025-12-30
2025-12-03,49543,2025-12-30
2025-12-04,49543,2025-12-30
2025-12-05,49543,2025-12-30
2025-12-08,49543,2025-12-30
2025-12-09,49543,2025-12-30
2025-12-10,49543,2025-12-30
2025-12-11,49543,2025-12-30
2025-12-12,49543,2025-12-30
2025-12-15,49543,2025-12-30
2025-12-16,49543,2025-12-30
2025-12-17,49543,2025-12-30
2025-12-18,49543,2025-12-30
2025-12-19,49543,2025-12-30
2025-12-22,49543,2025-12-30
2025-12-23,49543,2025-12-30
2025-12-24,49543,2025-12-30
