trade_date,front_instrument_id,front_expiry
2026-04-01,66691,2026-04-28
2026-04-02,66691,2026-04-28
2026-04-06,66691,2026-04-28
2026-04-07,66691,2026-04-28
2026-04-08,66691,2026-04-28
2026-04-09,66691,2026-04-28
2026-04-10,66691,2026-04-28
2026-04-13,66691,2026-04-28
2026-04-15,66691,2026-04-28
2026-04-16,66691,2026-04-28
2026-04-17,66691,2026-04-28
2026-04-20,66691,2026-04-28
2026-04-21,66691,2026-04-28
2026-04-22,66691,2026-04-28
2026-04-23,66691,2026-04-28
2026-04-24,66691,2026-04-28
2026-04-27,66691,2026-04-28
2026-04-28,66691,2026-04-28
2026-04-29,66071,2026-05-26
2026-04-30,66071,2026-05-26
2026-05-04,66071,2026-05-26
2026-05-05,66071,2026-05-26
2026-05-06,66071,2026-05-26
2026-05-07,66071,2026-05-26
2026-05-08,66071,2026-05-26
2026-05-11,66071,2026-05-26
2026-05-12,66071,2026-05-26
2026-05-13,66071,2026-05-26
2026-05-14,66071,2026-05-26
2026-05-15,66071,2026-05-26
2026-05-18,66071,2026-05-26
2026-05-19,66071,2026-05-26
2026-05-20,66071,2026-05-26
2026-05-21,66071,2026-05-26
2026-05-22,66071,2026-05-26
2026-05-25,66071,2026-05-26
2026-05-26,66071,2026-05-26
2026-05-27,62329,2026-06-30
2026-05-29,62329,2026-06-30
2026-06-01,62329,2026-06-30
2026-06-02,62329,2026-06-30
2026-06-03,62329,2026-06-30
2026-06-04,62329,2026-06-30
2026-06-05,62329,2026-06-30
2026-06-08,62329,2026-06-30
2026-06-09,62329,2026-06-30
2026-06-10,62329,2026-06-30
2026-06-11,62329,2026-06-30
2026-06-12,62329,2026-06-30
2026-06-15,62329,2026-06-30
2026-06-16,62329,2026-06-30
2026-06-17,62329,2026-06-30
2026-06-18,62329,2026-06-30
2026-06-19,62329,2026-06-30
2026-06-22,62329,2026-06-30
2026-06-23,62329,2026-06-30
2026-06-24,62329,2026-06-30
2026-06-25,62329,2026-06-30
2026-06-29,62329,2026-06-30
2026-06-30,62329,2026-06-30
